x_start,y_start,x_end,y_end,average-velocity,20-perc-velocity,50-perc-velocity,80-perc-velocity,median-velocity-last5,median-velocity-last3,mid-stroke-area-covered,mid-stroke-pressure,mean-resultant-length,direct-end-to-end-distance,length-of-trajectory,ratio-end-to-end-dist-and-length-of-trajectory,stroke-duration,max-perp-distance,direction-of-end-to-end-line,average-direction,20-perc-accel,50-perc-accel,80-perc-accel,median-accel-first5,20-perc-perp-distance,50-perc-perp-distance,80-perc-perp-distance
863.20074,1012.47266,483.55228,1049.4534,2024.37568979,852.138090734,2561.010286,2778.24272903,2604.49665707,2725.41439462,0.07,1.0,81.7060875775,381.445314968,385.18807269,0.990283297987,0.21599984169,431.015357884,174.436493093,81.7060875775,-291507.920115,-158877.914828,-40467.1331742,-40467.1331742,410.68514364,415.784885866,426.975176232
293.72803,1130.4113,786.32837,941.26447,599.197308246,45.1012827354,336.04233353,952.602228356,2930.54483481,2857.37855735,0.06,1.0,17.0312504234,527.666199663,530.344807242,0.994949309313,1.83800029755,1792.41388501,-21.0056033835,-17.0312504234,-58022.9490452,-17387.299724,-2219.12740469,0.0,1638.31243787,1727.16693889,1742.91314138
824.2368,959.50024,467.83734,1023.0401,254.531457194,54.0378352627,90.7485453536,226.485909169,2404.63424085,2664.70869793,0.06,1.0,147.74101398,362.019183051,367.84075058,0.984173674289,1.77399992943,382.244725314,169.891360548,147.74101398,-13385.9046759,-5526.91830659,-3029.13619642,-13087.2231394,355.699032262,357.162899249,359.998629846
354.6716,1091.4315,699.3525,983.48773,675.470411627,88.5820577071,185.691257676,1058.36781852,2628.34979376,2103.18246827,0.049999997,1.0,18.7661016075,361.188012407,363.878816007,0.992605220525,0.596999645233,2212.26176406,-17.3889987713,-18.7661016075,-61366.7270988,-12168.4721562,-5516.19194538,-49506.6025295,2135.33292507,2164.66414685,2175.38623405
857.2063,911.5252,516.5217,961.4992,2186.25218744,1580.02321325,1872.38354568,3683.1279227,3683.1279227,1620.09252615,0.07,1.0,132.106038628,344.330360777,344.697683272,0.99893436332,0.15199971199,156.020497998,171.654968254,132.106038628,-243450.027507,-179083.527871,-96743.0906127,-96743.0906127,147.824224441,151.255996918,154.139674872
326.6975,1097.4283,669.3802,1002.47784,2054.07988803,842.585002337,2127.68772215,3151.33831509,3151.33831509,2127.68772215,0.049999997,1.0,14.093669707,355.593901429,356.991952403,0.996083802548,0.190999984741,2378.61726031,-15.48697877,-14.093669707,-241695.143221,-136561.261166,-47956.4881784,-47956.4881784,2183.94211908,2301.86245821,2354.5422196
746.30896,1026.4653,455.2714,1060.7002,1556.59840397,1008.03228873,1374.51860493,2550.57839599,2550.57839599,2740.12888685,0.07,1.0,172.207472757,293.04417706,293.787888296,0.99746854358,0.200000047684,1015.89850004,173.291097769,172.207472757,-156131.406697,-84221.3561056,-61627.3717639,-61627.3717639,1003.14424548,1010.04544864,1014.05149507
337.68732,1048.4539,654.1795,978.08307,1902.68252758,0.0,2099.58669073,3306.35649863,3306.35649863,2099.58669073,0.07,1.0,11.6636384403,324.221149397,325.656779144,0.995591586481,0.173999786377,2298.44966677,-12.5355760442,-11.6636384403,-220761.21335,-182609.907617,0.0,0.0,2162.81834039,2226.02336022,2290.06606676
752.3034,1077.4388,414.6161,1099.4274,2037.42012491,865.186582473,1466.18304745,2991.95934799,2991.95934799,2991.95934799,0.08,1.0,135.052632912,338.402439576,339.117453668,0.997891544408,0.163999795914,1061.55077433,176.27442933,135.052632912,-193600.863952,-104216.701429,-52607.8687729,-52607.8687729,1051.27637553,1056.32443997,1057.46864669
351.67438,1109.4221,703.34875,1043.4565,2085.26439679,0.0,2123.35160999,4147.90059815,3054.4459187,2123.35160999,0.08,1.0,10.27627125,357.807661878,357.852706707,0.999874124663,0.158999919891,2349.48033919,-10.6238505365,-10.27627125,-288873.060266,-256192.67917,0.0,0.0,2216.07861195,2261.6411795,2349.48033919
807.25256,1019.469,536.3559,1010.4737,1664.03185855,811.598355249,1020.29200466,2324.05307649,2324.05307649,4432.81602805,0.07,1.0,20.1345668623,271.045966252,271.658365793,0.997745699679,0.167999982834,805.250036008,-178.098155127,20.1345668623,-140820.206889,-62956.5227062,-49737.7526566,-49737.7526566,791.154114165,799.780650019,804.725917991
290.7308,1107.4232,672.49646,1020.3592,851.020939781,252.80706712,526.81486564,1328.09863663,2220.55020701,2800.6068288,0.08,1.0,11.5078321033,391.567566649,392.144190287,0.998529562205,0.547999858856,2309.75235964,-12.8469400465,-11.5078321033,-81230.9916039,-34679.3808563,-14559.3823357,0.0,2214.24192886,2263.81033098,2285.43355101
811.24884,1022.46747,366.56134,1064.2975,515.08980024,62.4354984709,235.306436767,419.415638801,2761.53489866,3373.30890463,0.07,1.0,114.52796166,446.650561475,449.289847423,0.994125649704,0.914000034332,503.300520031,174.626220658,114.52796166,-24317.3703682,-12626.0049906,-3703.8345912,-17283.2281204,472.902611423,474.948267299,488.173361655
335.68918,1110.4216,691.4063,1018.0604,2262.94787234,0.0,2975.30934852,3250.2234015,3044.70444293,3044.70444293,0.06,1.0,14.5590574052,367.512259287,368.172637298,0.998206335985,0.177000045776,2340.81882073,-14.5553176507,-14.5590574052,-199195.080456,-187093.10729,0.0,0.0,2169.80163146,2217.3466981,2309.4072902
784.2738,1059.4481,345.67993,1104.4248,373.097750718,65.3602164869,124.997884071,380.286245275,1934.79962517,2418.59661185,0.07,1.0,166.430633192,440.893962699,443.058075616,0.9951155096,1.27200031281,689.66105467,174.144928402,166.430633192,-23340.2147804,-7144.30234079,-3790.40340598,0.0,668.271521384,671.346246083,674.263991586
320.70306,1113.42,635.30255,1022.49475,2231.67807137,1682.17541976,2974.34258637,3118.81507974,3118.81507974,3118.81507974,0.049999997,1.0,16.6531632151,327.475556639,327.759175835,0.999134671986,0.180999994278,2695.24511812,-16.1203019419,-16.6531632151,-189417.562647,-180034.956162,-102518.250095,-102518.250095,2511.24209166,2576.38719173,2644.25132798
760.296,1019.469,286.36212,1078.2867,606.1502939,65.4895320912,433.439010053,822.910832324,2551.50718705,2551.50718705,0.07,1.0,120.875791643,477.569727312,481.787020404,0.99124656142,2.94099998474,585.176955147,172.925463833,120.875791643,-46472.5304049,-27160.303985,-4030.70008725,-34792.4038258,554.312858797,562.803230287,569.205281463
354.6716,1109.4221,765.2774,1005.7296,2317.0837179,0.0,3246.54332628,3626.50634236,3469.24808197,3027.10917356,0.07,1.0,14.6093477457,423.496466986,423.882084323,0.999090272152,0.207999944687,1977.19922115,-14.1728842602,-14.6093477457,-236624.776832,-201046.788239,0.0,0.0,1814.39337313,1883.7306129,1959.72610115
925.1434,1003.47736,431.60037,1000.4789,869.397122801,313.679038493,646.616032388,1377.14658643,2280.76054723,1377.14658643,0.07,1.0,12.6836274148,493.552138303,497.811661369,0.991443504851,0.614000082016,160.663633031,-179.651910818,-12.6836274148,-112653.108013,-37460.3380165,-19105.7266875,0.0,132.185970553,140.030287737,158.790668809
508.52914,1136.4081,738.3164,1014.4716,1078.88665943,862.86593445,1044.61711693,1395.27224468,1472.97149697,1549.28811292,0.06,1.0,27.6549537232,260.135916187,260.63240305,0.998095068545,0.280999898911,2742.8997365,-27.9526356569,-27.6549537232,-85959.8029592,-71832.4049651,-52796.338594,-49361.6670191,2503.29205923,2572.59552759,2640.631307
472.56244,1117.418,820.0992,1006.6926,1777.75377759,0.0,2934.74416118,3152.82647287,3035.95639949,2934.74416118,0.07,1.0,17.8655611099,364.7491107,364.936487819,0.999486548688,0.188999891281,1975.53109523,-17.6719071145,-17.8655611099,-234125.107371,-71565.0655949,0.0,0.0,1806.22003998,1918.14205758,1975.53109523
819.24146,1049.4534,219.79648,1125.4138,280.175768835,54.0536404572,128.597905647,464.801548789,892.763844507,1184.27663154,0.07,1.0,156.779008382,604.238584017,613.729504616,0.98453566184,3.94099998474,428.777143754,172.778090943,156.779008382,-27898.3987091,-7798.33751054,-3072.20129455,-4463.28601469,386.205657064,393.975333529,399.836603527
354.6716,1108.4227,661.38763,1043.4565,1708.35163068,1019.64755295,2086.34179666,2483.15199958,2474.64908308,1019.64755295,0.06,1.0,12.0620215631,313.520860871,313.90364237,0.998780576435,0.207000017166,2664.81415963,-11.9591891576,-12.0620215631,-175075.938215,-139938.625514,-65196.6134103,-65196.6134103,2513.54502776,2576.51901193,2626.32209402
718.3349,1355.2941,235.01918,1301.7583,1492.73069565,1203.55356057,1478.91863794,1890.53261347,1890.53261347,2649.66439817,0.07,1.0,134.821801661,486.271700884,488.573635999,0.995288458187,0.33699965477,1770.24815372,-173.679241608,-134.821801661,-115508.384489,-88896.6866379,-74097.7607094,-75510.3350046,1705.15151068,1709.7342773,1726.66724764
155.85568,1266.3405,570.3082,1330.5857,371.75897527,64.2161198623,234.464642289,375.946493908,2874.81948278,2874.81948278,0.08,1.0,10.0434882243,419.402357,423.020580452,0.991446696404,2.20499992371,3523.0970854,8.81141600926,10.0434882243,-23063.5263955,-14235.4301987,-3388.50666148,-790.049188903,3365.85730844,3400.95375526,3414.06705616
677.3728,1419.2607,285.9479,1309.0653,1108.41427472,738.098114417,1023.93654618,1669.14512939,1085.49904996,2053.01240349,0.06,1.0,165.271300701,406.640478213,408.202508352,0.996173394069,0.369000434875,2582.2868139,-164.276829,-165.271300701,-102612.422863,-61233.4123589,-42250.8282801,-59662.0654738,2460.58633093,2522.77903028,2556.71230093
689.3617,1269.3389,915.6346,1205.1937,1258.52430591,425.386122791,1073.07899891,2193.99713156,1676.25039014,2547.75050826,0.07,1.0,47.5988738785,235.18935341,710.73807622,0.330908616379,0.602000236511,3209.84637471,-15.827290916,47.5988738785,-135884.678544,-70688.2621993,-25764.3792344,-58995.1654868,3061.25826511,3167.76131237,3206.20789565
863.20074,1208.3706,543.49677,1204.3727,1716.7349411,911.933847197,1152.55287897,3296.64047325,3296.64047325,3296.64047325,0.08,1.0,17.9970114946,319.728965904,320.919964792,0.996288797773,0.200999975204,1305.09704882,-179.283553288,-17.9970114946,-207198.297315,-66849.5425986,-55996.6813443,-55996.6813443,1284.25530737,1300.2048628,1304.52087646
