x_start,y_start,x_end,y_end,average-velocity,20-perc-velocity,50-perc-velocity,80-perc-velocity,median-velocity-last5,median-velocity-last3,mid-stroke-area-covered,mid-stroke-pressure,mean-resultant-length,direct-end-to-end-distance,length-of-trajectory,ratio-end-to-end-dist-and-length-of-trajectory,stroke-duration,max-perp-distance,direction-of-end-to-end-line,average-direction,20-perc-accel,50-perc-accel,80-perc-accel,median-accel-first5,20-perc-perp-distance,50-perc-perp-distance,80-perc-perp-distance
544.24414,742.42,361.49792,749.4145,1206.34899009,142.317751132,1128.04682952,2528.09175168,1162.69955934,1162.69955934,0.19215688,0.19215688,126.018969548,182.880026122,183.333997722,0.997523800251,0.143000125885,812.094498141,177.808108923,126.018969548,-214065.19319,-45357.3915356,-8207.41553799,-18520.218591,801.694236142,805.705842236,812.094498141
136.80998,789.3833,321.5534,743.9188,1589.61025149,305.527238264,1528.78591225,3178.61502173,2273.46054477,3178.61502173,0.17254902,0.17254902,18.529117492,190.255491362,191.445664361,0.993783233467,0.113999843597,2691.91477865,-13.8254918157,-18.529117492,-192360.956458,-82659.6211257,-17566.6277813,-31986.3785825,2551.62969358,2617.80867687,2684.44837956
535.2566,701.45197,364.49377,732.4278,1352.81695439,115.784737812,1616.35730051,2299.6376808,1775.51959949,1153.60873999,0.18431373,0.18431373,120.197453468,173.549549564,173.656475295,0.99938426868,0.114000082016,701.391098538,169.718526373,120.197453468,-189241.313951,-94964.2804903,-6611.56453743,-34987.3264636,676.056087803,691.720843137,701.391098538
127.82247,807.36926,405.4369,738.4231,1878.67759914,666.882720803,1101.29890652,3535.05632248,3535.05632248,1101.29890652,0.16862746,0.16862746,19.5099647911,286.047801465,289.193454675,0.989122668031,0.145000219345,1902.99990222,-13.9473518151,-19.5099647911,-221693.86566,-163991.442608,-38955.300101,-38955.300101,1759.21470858,1817.31259841,1883.48352633
112.84328,791.3817,555.72815,716.4403,1948.69328325,648.229640718,1678.17504359,3459.76286628,2308.28717214,1678.17504359,0.18039216,0.18039216,25.7114532405,449.180611234,458.415259491,0.979855277361,0.224999904633,1191.1006281,-9.60415434056,-25.7114532405,-214107.373889,-158361.223171,-40300.613441,-12384.5698501,1097.16125572,1130.42555619,1184.3332735
513.2871,706.44806,221.24345,737.7135,1369.23366835,398.506233053,1765.33776309,2289.77698183,2289.77698183,1878.15812845,0.20392159,0.20392159,158.48506235,293.712480572,297.127967448,0.988504997004,0.208000183105,485.159662223,173.889336049,158.48506235,-137288.948383,-102044.148514,-23924.3899595,-23924.3899595,464.364269293,466.969929207,478.136871513
106.8516,774.395,520.2774,689.46136,1510.4318797,121.700464522,1237.6817707,2937.25743417,1237.6817707,114.209790222,0.18431373,0.18431373,23.8582119221,422.059966485,426.736869201,0.989040312536,0.259999990463,1222.23214354,-11.6092435629,-23.8582119221,-169537.567384,-114190.84147,-16923.8926719,-6863.81809059,1095.66154275,1164.31182012,1218.6038401
108.84882,752.4122,523.5188,661.00055,1600.9022815,114.243781695,1102.58982711,3260.82501627,2497.06242041,1102.58982711,0.20392159,0.20392159,24.4008488249,424.626049682,429.534176753,0.988573372419,0.261000156403,1139.7891221,-12.4316997401,-24.4008488249,-230143.224463,-59546.721284,-6776.07338917,-4298.92580414,1016.70070695,1117.54370436,1137.42091915
563.2178,627.50977,254.64633,704.44965,1737.67268283,529.335862073,1112.43739427,3088.98927534,3088.98927534,529.335862073,0.20784315,0.20784315,169.078311549,318.019020237,319.960933827,0.993930779091,0.167000055313,142.414298776,165.999235779,169.078311549,-216105.124994,-165628.458234,-34204.3380313,-34204.3380313,118.982762698,122.454932235,141.514461988
117.83634,756.40906,469.34814,658.48553,1195.20653672,179.265225521,933.325328351,2268.53938547,1725.30674686,672.952725563,0.19607845,0.19607845,14.7990597047,364.896647377,375.202171569,0.972533410056,0.300999879837,1320.81121331,-15.5666786876,-14.7990597047,-136204.274475,-62404.8534486,-10855.5484908,-5754.28514285,1178.90219039,1268.6001358,1317.02210806
154.78502,740.4216,540.2497,656.4871,1817.52969413,318.726611994,2382.18853689,3225.50820358,2512.60833914,1771.6730602,0.18823531,0.18823531,16.4169818734,394.497173396,397.507101027,0.992427990285,0.232000112534,1097.01251706,-12.2843349879,-16.4169818734,-187189.054765,-137397.694247,-14894.083683,-14894.083683,984.336052204,1036.9263102,1093.60522196
561.2205,715.44104,263.87903,737.26306,1494.23962967,384.147743909,1647.21911392,2624.8273201,2624.8273201,1337.30950079,0.20000002,0.20000002,84.6297035916,298.141158411,299.92829218,0.994041463192,0.192999839783,381.366691675,175.802563008,84.6297035916,-170101.692214,-92375.5936634,-21817.9370367,-21817.9370367,361.923651844,364.817935515,377.014802194
177.75313,758.4075,553.2316,672.4746,1893.90473464,605.492819694,1898.22350593,2992.27561544,1857.15669194,1659.89043522,0.18039216,0.18039216,16.122326751,385.186376623,386.42214773,0.996802017911,0.194999933243,1138.05230594,-12.8908436912,-16.122326751,-232254.040941,-114412.167585,-35945.0010335,-35945.0010335,1022.14169446,1078.84350867,1132.88758555
433.39807,648.49335,275.88766,711.7013,1333.7873538,239.870000693,1571.64723797,2225.88614551,1737.64751163,1571.64723797,0.18431373,0.18431373,135.331899024,169.719693028,178.440661969,0.951126784421,0.124000072479,901.97894934,158.13471479,135.331899024,-158113.756593,-94026.7541533,-13437.6617915,-37813.710058,819.809961432,872.113952869,901.97894934
126.82386,792.3809,265.29895,747.3789,1224.86222697,103.691873429,670.840483999,2103.55024614,1508.89709057,2103.55024614,0.18431373,0.18431373,24.7130672836,145.604019706,146.551333928,0.993535956329,0.115000009537,3585.00314037,-18.0032618495,-24.7130672836,-127735.523857,-39358.1594828,-5648.49499165,-26675.7835038,3416.27442324,3530.78152586,3580.01071777
516.28296,837.3458,373.4813,855.3318,1075.69844475,187.671294288,1536.17207319,1902.44931513,1876.5404561,1902.44931513,0.18823531,0.18823531,172.719839775,143.929879784,144.259951578,0.997711965168,0.128999948502,1907.97947766,172.821344632,172.719839775,-152416.55442,-26832.9245908,-10733.6861828,-18622.8068782,1873.0169982,1884.82207332,1907.97947766
115.83911,850.3357,306.57422,794.3794,1367.84703882,200.409173552,829.092532601,1750.4393737,1750.4393737,1398.77553631,0.18431373,0.18431373,26.6847003047,198.773714803,200.230497784,0.99272447006,0.131999969482,3136.93040248,-16.350200185,-26.6847003047,-202115.863685,-47020.508508,-11696.4554306,-11696.4554306,2958.31062572,3089.18492033,3129.49240093
505.29822,751.41296,383.4674,753.4114,939.713098884,41.5767852846,713.299300214,2095.35902295,1004.71072576,533.336452758,0.18039216,0.18039216,153.666187022,121.847209506,123.187567734,0.989119370948,0.115999937057,1521.78824264,179.060238538,153.666187022,-259576.484378,-44540.2034508,-1917.33793843,-28346.9603549,1517.36958979,1518.31175712,1521.78824264
182.74619,809.3677,322.55203,759.40674,1254.13839906,96.3009613649,523.66302046,3022.77133279,841.023666439,523.66302046,0.17254902,0.17254902,23.5420812191,148.464711033,148.912744103,0.996991304722,0.105999708176,3402.87944167,-19.6648372923,-23.5420812191,-433179.711962,-46448.6317896,-5177.77422143,-22947.7966385,3205.21014597,3294.96469728,3398.55065817
464.35507,714.44183,307.9198,748.80194,1507.83683341,930.290993608,1020.89940332,2230.00148691,2016.34367415,2230.00148691,0.19215688,0.19215688,167.980915004,160.164324552,160.253075917,0.999446179958,0.0970001220703,1169.20825896,167.61202405,167.980915004,-165387.184177,-123171.738802,-53702.9966396,-58035.8616854,1126.80186014,1136.02016503,1169.20825896
