x_start,y_start,x_end,y_end,average-velocity,20-perc-velocity,50-perc-velocity,80-perc-velocity,median-velocity-last5,median-velocity-last3,mid-stroke-area-covered,mid-stroke-pressure,mean-resultant-length,direct-end-to-end-distance,length-of-trajectory,ratio-end-to-end-dist-and-length-of-trajectory,stroke-duration,max-perp-distance,direction-of-end-to-end-line,average-direction,20-perc-accel,50-perc-accel,80-perc-accel,median-accel-first5,20-perc-perp-distance,50-perc-perp-distance,80-perc-perp-distance,label
618.1415,783.388,496.3107,778.3919,941.439808163,383.240596429,693.366339548,927.539742293,781.989055426,2302.89518534,0.1764706,0.1764706,21.2832056358,121.933198284,125.937348063,0.968205223946,0.143000125885,1086.7813181,-177.651701042,-21.2832056358,-68615.0628678,-28108.3600444,-19336.6247988,-19336.6247988,1067.33477608,1081.13418228,1084.87254281,20587
319.55618,804.3716,520.4393,772.1482,422.187596639,169.201962213,298.82324348,710.157183238,957.389876637,784.31462151,0.1764706,0.1764706,9.33853731603,203.45116222,206.51344573,0.98517150542,0.487999916077,1910.33645038,-9.11310770621,-9.33853731603,-43426.6827546,-17407.2901977,-10412.1004041,-4935.86505774,1879.72922237,1898.33944053,1905.14393682,20587
582.1914,739.4223,439.38974,765.40204,1225.14853521,638.339335443,1171.61999229,1853.60842281,1565.83779346,1853.60842281,0.18823531,0.18823531,124.116575244,145.145654393,145.382826462,0.998368637652,0.118000030518,829.131620331,169.689016429,124.116575244,-139867.984015,-67352.1811136,-1663.11663835,-60763.1843385,805.154788005,814.970318088,828.476536303,20587
310.56866,812.36536,418.63998,783.875,832.521283596,136.351204008,1085.11967922,1669.4774415,1276.08620959,1085.11967922,0.17254902,0.17254902,18.1159945778,111.763638181,111.952786673,0.99831046196,0.130999565125,3640.86769917,-14.7686186355,-18.1159945778,-107496.90994,-27475.2359941,-7843.41455036,-9967.26169988,3519.4442004,3601.72575453,3635.65676218,20587
513.2871,769.3989,381.56052,810.3443,1270.74579036,836.48186074,1080.79254381,1863.43195446,1361.24451899,1361.24451899,0.18039216,0.18039216,163.340475618,137.943530692,138.741618982,0.994247664858,0.0989997386932,1504.51953964,162.732859831,163.340475618,-153796.182554,-113981.737268,-47341.4993167,-62739.6999223,1466.48678099,1480.2673615,1504.51953964,20587
261.63663,831.3505,428.405,830.35126,1060.60654762,468.796980147,1154.92770021,1597.86710047,1154.92770021,328.713262999,0.14509805,0.14509805,0.370852984459,166.771363588,166.993454501,0.998670062168,0.141999721527,2837.25965915,-0.343299809124,-0.370852984459,-98412.4171234,-92384.8165609,-48667.382891,-48667.382891,2833.89229484,2836.59388288,2836.61751663,20587
461.35922,871.3193,309.57004,852.3341,916.085194229,225.483051773,516.710955101,1726.73221522,1726.73221522,516.710955101,0.1764706,0.1764706,133.938472582,152.971869911,154.210177696,0.991969999625,0.15499997139,2344.28298902,-172.870690063,-133.938472582,-120234.010286,-90336.4060971,-13204.6799807,-13204.6799807,2289.20911242,2309.98526256,2337.24843055,20587
264.63245,887.30676,356.50485,907.2912,818.232036627,57.4403667948,606.194606581,1444.11119547,606.194606581,57.4403667948,0.14901961,0.14901961,12.4937368351,94.0208260114,94.2456743368,0.997614231879,0.0899999141693,6008.74238076,12.272026229,12.4937368351,-88462.5832459,-58657.2756078,-28718.8413648,-58657.2756078,5915.72407021,5959.41150459,6008.74238076,20587
453.37033,829.35205,321.8971,831.73645,1076.80698855,225.875414424,918.751576469,1843.21515589,1592.83179609,1843.21515589,0.18823531,0.18823531,119.556195645,131.494849975,132.386814959,0.993262433393,0.115000009537,2378.17451495,178.960996993,119.556195645,-113148.448598,-52991.7267352,-12368.0688128,-52451.5059203,2351.58992567,2364.69394844,2378.17451495,20587
268.62692,939.2662,364.49377,928.2748,172.384193978,23.0542322723,122.33269021,289.189585752,422.265467219,83.9799707529,0.18431373,0.18431373,2.26827553435,96.4948900351,102.850952534,0.938201228653,0.575000047684,6551.87661961,-6.5405605455,2.26827553435,-19055.7715213,-6660.16165009,-1440.90806814,0.0,6533.38259657,6535.64663551,6548.76450412,20587
442.3856,887.30676,359.56583,873.33405,757.236093868,347.045880488,506.575503475,1330.37434272,941.150025389,941.150025389,0.1764706,0.1764706,98.3979579454,83.9901835192,84.5194886398,0.993737478432,0.104000091553,4708.02556916,-170.423679948,-98.3979579454,-82486.741315,-76838.1303327,-20360.2724462,-29451.1654474,4626.31205591,4648.09534927,4701.01114485,20587
