x_start,y_start,x_end,y_end,average-velocity,20-perc-velocity,50-perc-velocity,80-perc-velocity,median-velocity-last5,median-velocity-last3,mid-stroke-area-covered,mid-stroke-pressure,mean-resultant-length,direct-end-to-end-distance,length-of-trajectory,ratio-end-to-end-dist-and-length-of-trajectory,stroke-duration,max-perp-distance,direction-of-end-to-end-line,average-direction,20-perc-accel,50-perc-accel,80-perc-accel,median-accel-first5,20-perc-perp-distance,50-perc-perp-distance,80-perc-perp-distance,label
879.1859,1280.3331,537.4275,1346.2802,3322.57379376,1178.18628726,3294.44684597,3898.39351457,3294.44684597,1868.54722971,0.06,1.0,111.433800057,348.062959777,350.844100791,0.992073000495,0.117000102997,1567.98318342,169.078209586,111.433800057,-467114.979126,-241784.184363,-70117.8573538,-143360.096462,1501.35075262,1551.60587323,1564.99160269,20587
426.605,1294.3258,691.8531,1295.3253,1863.25996889,0.0,2674.18922211,2813.47271765,2806.64466096,2265.03238558,0.049999997,1.0,0.0976818126467,265.249983136,265.905888091,0.997533319179,0.134999990463,4237.43931022,0.21589923011,0.0976818126467,-186737.422,-154498.974332,0.0,-79445.663306,4220.27853982,4234.16961372,4237.43931022,20587
890.1758,1197.3763,656.3922,1191.3795,1165.97984866,337.344369998,867.183092131,2487.68870855,2487.68870855,867.183092131,0.049999997,1.0,12.0313840914,233.860499527,235.013802511,0.995092615958,0.338000059128,1571.75433242,-178.530624039,-12.0313840914,-174260.636259,-41199.720398,-20555.3350736,-20555.3350736,1563.41700832,1568.3307196,1571.09708306,20587
1069.0101,1623.1545,1035.0416,1790.0676,29329.3916444,104.038235231,641.201266126,1394.14643013,248.514646242,703.334472829,0.07,1.0,50.8275129737,170.334500157,367.588395182,0.46338378031,0.135000228882,5823.57617068,101.503179509,-50.8275129737,-70084.9997119,-6435.12666077,1394.14643013,-22796.1068203,4963.58072246,4971.20477882,5087.45860669,20587
785.2729,1287.3295,478.5569,1280.3331,2513.64019622,439.012021941,3081.18430538,4224.03448757,3612.40504478,3081.18430538,0.04,1.0,62.4162838318,306.795785937,308.250549373,0.995280581206,0.149999856949,2095.20375611,-178.693271017,62.4162838318,-276999.476711,-208267.900452,-24191.1431115,-98482.1693498,2085.99848859,2090.79863628,2095.20375611,20587
280.74005,1292.3269,717.3358,1298.3237,3218.41659327,1694.21691889,4304.42529942,4986.81634998,3278.59001205,1694.21691889,0.08,1.0,5.92361178683,436.636932163,454.553945609,0.960583306735,0.131000041962,3007.91592562,0.786928699378,5.92361178683,-362600.66498,-266177.486967,-118615.351991,-263943.718417,2933.22671078,2968.40200727,3007.91592562,20587
825.2359,1228.3602,583.4598,1239.3545,2238.88581942,873.877709223,2492.82685522,3444.5576149,2886.34400517,2492.82685522,0.049999997,1.0,177.441182013,242.025943163,242.100847956,0.999690604993,0.111000061035,2065.99758838,177.396378968,177.441182013,-227146.391481,-216303.532613,-51730.9021362,-176660.426008,2056.64897424,2060.41392508,2064.29901165,20587
504.53284,1188.381,756.50806,1152.6964,707.156725733,191.69961151,386.673852233,1028.21967857,1611.57267181,3077.90286871,0.06,1.0,1.56836672444,254.489493243,261.404701025,0.973545970081,0.439999818802,3198.27606328,-8.06059582627,1.56836672444,-59295.3971649,-24259.1568884,-11811.3705329,-11811.3705329,3185.48591135,3187.21874574,3196.68591569,20587
980.0925,1135.4086,656.61096,1158.094,2773.34023604,404.252885526,3264.14502364,4737.15215169,3821.39031547,3821.39031547,0.04,1.0,117.411975986,324.276015292,325.053585444,0.997607870867,0.121999979019,557.611398567,175.988478517,117.411975986,-298070.985782,-198860.924326,-23227.039083,-124155.287993,538.487776497,543.476581357,554.683772561,20587
534.50507,1199.3752,779.27844,1183.3837,2102.44303799,702.155389881,2663.64728127,3170.65352867,2663.64728127,1938.80670308,0.049999997,1.0,4.10591463562,245.295191012,245.473247151,0.999274641365,0.119000196457,3247.05745751,-3.73792785333,-4.10591463562,-331001.545139,-195109.526109,-38117.4350207,-177099.170259,3207.54952926,3224.04665606,3237.45796658,20587
890.1758,1173.3888,588.31757,1159.1118,1921.52406233,749.292001018,2159.05214161,2847.4933921,1624.85856238,749.292001018,0.04,1.0,85.6319243932,302.195671292,303.220638308,0.996619732015,0.207000255585,1099.25066844,-177.292097371,-85.6319243932,-191460.38213,-163173.497186,-100804.162344,-174272.334797,1086.30123261,1090.07086836,1093.73559343,20587
804.2553,1191.3795,531.1317,1179.3857,2329.05205337,644.567164525,2619.36705953,3687.22292297,3176.98915893,2619.36705953,0.049999997,1.0,0.0938641991613,273.386817743,275.959497978,0.990677326731,0.114000082016,1718.23372151,-177.485560002,0.0938641991613,-226579.923781,-183194.932628,-35608.7265446,-150662.609219,1670.0466737,1698.35821363,1712.5093986,20587
463.57077,1237.3555,735.03625,1186.9215,2125.83115143,0.0,2800.29210211,3594.55882669,2800.29210211,2590.20823708,0.06,1.0,11.1521634056,276.110657505,276.414375086,0.998901223638,0.115000009537,3467.61983088,-10.524657112,-11.1521634056,-228520.068273,-159087.39464,0.0,-67244.7021176,3326.28135657,3392.05979077,3453.7779973,20587
956.1147,1126.4133,547.49304,1186.3821,2727.06952899,799.521472951,3115.89545521,4524.05494049,3687.94684748,1581.64389743,0.049999997,1.0,172.064708128,412.998690064,413.976900226,0.997637041677,0.164999961853,493.258060613,171.650944155,172.064708128,-323771.479889,-203305.573001,-46853.3507389,-46853.3507389,466.934416375,469.7686226,489.200608999,20587
463.57077,1232.3582,789.2692,1191.3795,2848.13959622,0.0,4247.05786693,5631.90087098,4383.909878,5631.90087098,0.08,1.0,7.50543605681,328.266235178,329.008401185,0.997744233875,0.0939998626709,2886.13750635,-7.17115425499,-7.50543605681,-328135.296196,-259770.425619,0.0,0.0,2790.16690054,2833.28448559,2886.13750635,20587
660.38855,1275.3357,353.5108,1252.9222,2156.62882117,1402.86545804,2701.27352207,3342.90991386,1889.54002337,1498.26799909,0.06,1.0,125.526301431,307.695171277,308.794481746,0.996439993156,0.135999917984,2518.96029405,-175.822692449,-125.526301431,-211212.335529,-172863.797077,-84684.6710033,-172863.797077,2494.59392394,2501.46051605,2504.03973798,20587
399.62997,1347.2982,674.3756,1302.3217,2091.44930222,458.513358827,2683.54778212,3145.5603873,2333.72149168,1945.0807186,0.06,1.0,9.77099469271,278.402670167,278.892218593,0.998244668036,0.15499997139,4561.43034913,-9.29698963155,-9.77099469271,-257362.363051,-171925.188393,-25511.4664643,-171925.188393,4433.03542882,4480.28054386,4527.3678206,20587
807.25256,1324.3102,539.5005,1375.2837,967.28250061,430.179987851,626.167058358,2003.01149583,2003.01149583,1226.99801798,0.04,1.0,172.710319597,272.560935089,274.027294398,0.99464885674,0.281000137329,2608.96134665,169.221255411,172.710319597,-139746.487472,-38797.4350221,-24916.6843261,-38797.4350221,2531.97311441,2535.5360385,2585.15809929,20587
466.568,1408.2665,716.33673,1395.2733,855.25796209,53.1836422203,175.990893344,2148.31396399,2677.20881691,2684.01758003,0.049999997,1.0,1.62320021159,250.106460796,250.299362398,0.999229316449,0.587999820709,5302.39181518,-2.97789506308,-1.62320021159,-131592.141828,-10946.2249009,-127.032237245,-10946.2249009,5269.79732979,5298.22091216,5298.52030236,20587
898.1684,1313.3159,563.4783,1329.3076,875.716478212,30.8262904469,276.738721216,2241.86214728,2606.3625934,2241.86214728,0.06,1.0,66.3750544803,335.071928855,337.138992705,0.993868808136,0.531999826431,1648.0494183,177.264452689,66.3750544803,-160655.469819,-7613.52059452,-1076.17259854,-15433.9339983,1603.98684628,1604.2778757,1627.17245356,20587
496.54025,1338.303,764.2923,1317.3138,2322.26101792,1267.56490484,2799.10780613,2868.51863407,2856.657887,2856.657887,0.049999997,1.0,4.41510136129,268.573466292,268.785890496,0.999209689898,0.138999938965,4188.3965315,-4.48227486354,-4.41510136129,-194869.552663,-171582.592831,-23708.8453886,-154873.397302,4130.62291912,4146.84680075,4172.73275592,20587
736.31824,1274.3363,395.0767,1314.0262,2584.74814867,634.995071372,3186.08154249,4170.76755124,3702.22911288,3186.08154249,0.06,1.0,73.4954423951,343.541957821,346.615151684,0.991133700164,0.133000135422,2057.88495646,173.365720877,73.4954423951,-275157.414976,-146358.737237,-37723.5257935,-120172.793788,1968.54612635,2007.10915854,2057.88495646,20587
371.65588,1433.2534,612.4329,1481.2285,1884.32323152,0.0,2483.18856656,3091.061475,2483.18856656,1665.39517863,0.06,1.0,11.295802164,245.510047819,245.949882494,0.998211689835,0.117999792099,6404.90487506,11.2686712515,11.295802164,-190715.068058,-144404.864663,0.0,-124661.561957,6237.98905008,6353.25821005,6404.90487506,20587
809.2507,1411.2649,608.43665,1367.2878,1972.40102291,594.297741327,1642.80945277,3117.70863272,2896.18592226,1642.80945277,0.06,1.0,94.1784799186,205.573023526,209.35548427,0.981932831823,0.12099981308,4149.6554861,-167.647564049,-94.1784799186,-310128.351147,-207668.325246,-34247.3476372,-177427.848923,4004.05975924,4034.85140747,4145.00484313,20587
362.6642,1437.2513,578.4644,1410.2655,1555.30113917,0.0,1967.90988883,2587.19590649,2413.26238819,1304.31798692,0.06,1.0,7.10380833906,217.480941054,217.719299698,0.998905202044,0.135999679565,7101.54967582,-7.12783312299,-7.10380833906,-177565.262013,-149301.843786,0.0,0.0,6977.27187386,7026.13295776,7094.79039548,20587
807.25256,1299.3232,514.5236,1324.3102,2357.73848202,936.667432517,2408.4775923,4089.04001892,2408.4775923,1233.14288775,0.04,1.0,58.6159428634,293.793454984,295.333022476,0.994787012037,0.12700009346,2235.18558883,175.12112603,58.6159428634,-299830.432224,-251049.394329,-51009.1740657,-205200.63324,2192.46397987,2218.06904346,2225.28460699,20587
456.57724,1341.3014,722.12366,1331.6888,2307.76554872,1434.51499049,2624.77728204,3283.86500335,3093.84799188,2624.77728204,0.06,1.0,2.01264568209,265.720347835,266.185735481,0.99825164318,0.110000133514,4451.307541,-2.07316305834,-2.01264568209,-210004.971684,-201828.500472,-81100.7520156,-179369.262264,4433.899265,4439.28821018,4444.61243799,20587
810.24976,1352.2957,493.54303,1380.2811,2385.07226649,1344.35401291,3056.22014024,3272.30880055,2658.75375382,1344.35401291,0.049999997,1.0,26.3115097793,317.940773479,331.468316183,0.959189032425,0.127000331879,2443.97834672,174.95024487,26.3115097793,-338242.282606,-193201.235245,-97408.9454394,-193201.235245,2353.19225693,2409.5360822,2442.83820491,20587
1050.0277,1828.0479,1073.0065,1594.1697,805.936578081,47.9991874832,94.1336909932,1549.56761841,1785.23707567,1549.56761841,0.04,1.0,78.4948645318,235.004335459,238.173841603,0.986692467476,0.34500002861,6052.05086956,-84.3886340844,-78.4948645318,-106029.17386,-7789.97810268,-1957.4264048,-3565.58334842,5737.23564119,5952.64594133,5967.82190509,20587
756.29974,1242.3529,585.4579,1290.3279,206.375717677,40.6678851868,144.900185264,328.343403493,57.7940031785,57.7940031785,0.08,1.0,152.013672099,177.450091348,181.385940709,0.978301243497,1.01900029182,3534.33434982,164.31444633,152.013672099,-21079.8716635,-8320.45183012,-2238.46968674,0.0,3434.32141826,3450.63652943,3520.84479201,20587
687.3635,1427.2566,460.57355,1464.2373,987.812000144,554.691354448,1029.03080006,1423.59006453,944.319141125,554.691354448,0.07,1.0,170.916458774,229.785233628,229.909963619,0.999457483317,0.259999990463,4714.7462782,170.738774961,170.916458774,-94591.1830779,-74702.4064156,-52202.8529544,-74805.4610976,4632.20389767,4672.51833611,4713.66287891,20587
398.6309,1476.2311,677.5306,1440.8237,2065.1962196,541.960755633,2861.70693893,3064.93500833,2284.95409535,1673.68291782,0.049999997,1.0,6.44428256729,281.138269602,282.090946182,0.996622803416,0.138999938965,5646.53952851,-7.2352166894,-6.44428256729,-191621.848527,-172381.763494,-30889.8917353,-172381.763494,5522.66295685,5558.14365725,5618.11713919,20587
770.2868,1424.2582,533.50604,1433.2534,1900.16353933,719.385798466,2435.59988418,2768.8867274,2723.14361637,1850.44962378,0.049999997,1.0,0.398057064189,236.951560301,239.907598785,0.987678429118,0.141999721527,4006.96957428,177.824404003,-0.398057064189,-348613.953106,-157416.409301,-39881.3114947,-149501.540653,3955.68921918,3969.38388792,4003.06747414,20587
454.5791,1403.269,670.3793,1357.2931,537.437136049,51.5836124822,188.77913892,1049.44083331,2177.63844481,1049.44083331,0.06,1.0,0.61914732356,220.643399405,224.550180953,0.982601743933,0.664000034332,6036.17288087,-12.0269626241,-0.61914732356,-60486.0252779,-11668.9991561,-3044.15125959,-7483.17799602,5998.87814904,6032.38248586,6035.05675308,20587
784.2738,1354.2946,559.2019,1377.7117,1855.45519384,400.848200345,2164.39447969,2998.22490607,2386.69700595,1974.04828227,0.049999997,1.0,114.447829729,226.2868108,227.193378389,0.996009709456,0.136000156403,3485.13512497,174.060160581,114.447829729,-188502.583253,-147194.212292,-21414.9669792,-132210.407357,3436.81765639,3470.48209583,3479.44027551,20587
522.5162,1416.2623,675.37463,1402.2697,1224.74322779,504.23319391,1601.95590954,1781.62238689,1770.75144134,1064.97581841,0.04,1.0,5.54892546075,153.497532478,153.684413634,0.998783994086,0.134999990463,8237.24277272,-5.23025643685,-5.54892546075,-204451.791818,-102379.011707,-29912.5548438,-98351.2900019,8164.77669244,8200.6590127,8225.27057068,20587
749.3062,1381.2805,546.494,1367.2878,1399.73493513,0.0,1819.48836584,2857.15957041,2252.86628194,1819.48836584,0.04,1.0,103.20643069,203.2943288,204.686026696,0.9932008163,0.157999753952,4318.80433565,-176.053224683,-103.20643069,-178375.700421,-82640.9713219,0.0,0.0,4250.44198432,4293.94062414,4311.28713218,20587
584.45886,1394.2738,951.6849,1263.298,478.038138978,106.321034534,279.450315106,877.353034524,1024.26338688,853.33040902,0.04,1.0,10.5770132202,389.884116937,404.008923266,0.965038380305,1.04399991035,2897.39514191,-19.6294171899,-10.5770132202,-56020.5430578,-18500.1058191,-6136.86373438,-15873.2092425,2757.65834626,2880.99652487,2891.94356225,20587
443.58926,1364.2894,946.12396,1255.3462,1375.13800601,861.037600054,1384.59907616,1980.85797821,1902.48943433,845.267472411,0.07,1.0,10.7211397732,514.20788163,526.384987788,0.976866539812,0.414999961853,2442.78916457,-12.2317308211,-10.7211397732,-135673.017418,-85871.5248826,-52741.7218692,-35327.7569694,2294.53366997,2380.91034778,2427.82538431,20587
